labels,files,cl2
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_2044.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_4466.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_6823.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_9141.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_11480.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_13842.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_16183.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_18514.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_20837.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_23164.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_25485.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_27833.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_30182.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_32529.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_34870.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_37215.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_39547.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_41849.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_44172.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_46478.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_48766.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_51056.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_53341.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_55625.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_57900.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_60214.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_62547.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_64876.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_67130.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_69503.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_71845.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_74196.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_76515.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_78824.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_81152.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_83492.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_85870.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_88232.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_90590.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_92944.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_95298.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_97644.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_99930.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_102234.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_104545.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_106882.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_109199.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_111524.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_113850.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_116084.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_118323.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_120676.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_123050.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_125355.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_127603.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_129798.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_131851.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_133933.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_136061.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_138304.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_140599.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_142747.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_144832.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_147013.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_149204.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_151407.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_153644.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_155865.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_157960.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_160001.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_162035.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_164182.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_166301.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_168484.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_170719.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_173067.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_175323.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_177523.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_179662.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_181811.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_184071.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_186428.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_188763.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_191112.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_193423.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_195701.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_197950.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_200161.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_202339.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_204574.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_206844.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_209100.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_211364.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_213606.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_215850.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_218122.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_220391.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_222666.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_224915.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_227144.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_229376.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_231638.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_233875.png,N
